Data,H,|I,Out_Acc,In_Acc,Sol_Time,Model,Warm_Start,Warm_Start_Time,Time_Limit,Rand_State,MIP_Gap,Obj_Val,Obj_Bound,VIS_Calls,VIS_Cuts,VIS_Time,HP_Time,FP_Time,FP_Num_CB,FP_Num_Cuts,Eps,Branch_Type
climate,3,405,0.903703704,0.958024691,45.0440321,OCT-Multivariate,FALSE,0,600,0,0,0,0,,,,,,,,,
climate,4,405,0.881481481,0.990123457,67.12576699,OCT-Multivariate,FALSE,0,600,138,0,0,0,,,,,,,,,
climate,4,405,0.940740741,0.958024691,105.0414281,OCT-Multivariate,FALSE,0,600,15,0,0,0,,,,,,,,,
climate,4,405,0.911111111,0.995061728,81.47434497,OCT-Multivariate,FALSE,0,600,89,0,0,0,,,,,,,,,
iris,3,112,0.394736842,0.392857143,600.00091,SOCT-Benders,None,0,600,42,1.545454545,112,44,3809,10111,54.94338632,0.00351914,,,,,
climate,4,405,0.903703704,0.995061728,153.084372,OCT-Multivariate,FALSE,0,600,42,0,0,0,,,,,,,,,
iris,3,112,0.921052632,1,27.02245402,SOCT-Benders,None,0,600,0,0,112,112,1362,3118,20.12011504,0.006537754,,,,,
iris,4,112,0.973684211,1,7.792936087,SOCT-Benders,None,0,600,138,0,112,112,285,1380,6.326102257,0.006113488,,,,,
iris,4,112,0.921052632,1,16.90538883,SOCT-Benders,None,0,600,15,0,112,112,533,3107,12.08442259,0.008618252,,,,,
iris,4,112,0.973684211,1,11.86436296,SOCT-Benders,None,0,600,89,0,112,112,414,1983,9.350883961,0.005996026,,,,,
climate,4,405,0.822222222,0.935802469,115.038528,OCT-Multivariate,FALSE,0,600,0,0,0,0,,,,,,,,,
climate,5,405,0.851851852,0.972839506,122.497313,OCT-Multivariate,FALSE,0,600,138,0,0,0,,,,,,,,,
climate,5,405,0.881481481,0.962962963,123.24668,OCT-Multivariate,FALSE,0,600,15,0,0,0,,,,,,,,,
climate,5,405,0.918518519,0.992592593,41.5469141,OCT-Multivariate,FALSE,0,600,89,0,0,0,,,,,,,,,
climate,5,405,0.925925926,0.972839506,66.78190207,OCT-Multivariate,FALSE,0,600,42,0,0,0,,,,,,,,,
iris,4,112,0.710526316,0.651785714,600.0009191,SOCT-Benders,None,0,600,42,0.534246575,112,73,2598,12656,58.3470335,0.003352445,,,,,
iris,4,112,0.921052632,1,6.81930995,SOCT-Benders,None,0,600,0,0,112,112,261,1265,5.443619251,0.005711094,,,,,
climate,5,405,0.911111111,0.990123457,187.1797001,OCT-Multivariate,FALSE,0,600,0,0,0,0,,,,,,,,,
iris,5,112,0.973684211,1,129.9025671,SOCT-Benders,None,0,600,138,0,112,112,1688,10501,45.7479682,0.020216165,,,,,
blood,2,560,0.759358289,0.791071429,600.000489,OCT-Multivariate,FALSE,0,600,138,1,0,0.201785714,,,,,,,,,
iris,5,112,0.315789474,0.339285714,600.0009551,SOCT-Benders,None,0,600,15,1.947368421,112,38,2736,20996,82.43693566,0,,,,,
blood,2,560,0.737967914,0.776785714,600.001977,OCT-Multivariate,FALSE,0,600,15,1,0,0.219642857,,,,,,,,,
iris,5,112,0.289473684,0.348214286,600.0032518,SOCT-Benders,None,0,600,89,1.871794872,112,39,3133,22344,95.94574428,0,,,,,
blood,2,560,0.796791444,0.767857143,600.0038671,OCT-Multivariate,FALSE,0,600,89,1,0,0.230357143,,,,,,,,,
iris,5,112,0.263157895,0.357142857,600.049747,SOCT-Benders,None,0,600,42,1.8,112,40,3042,22322,91.55016518,0,,,,,
iris,5,112,0.894736842,1,0.388509035,SOCT-Benders,None,0,600,0,0,112,112,10,26,0.150851965,0.010412088,,,,,
blood,2,560,0.802139037,0.769642857,600.0003679,OCT-Multivariate,FALSE,0,600,42,1,0,0.228571429,,,,,,,,,
climate,2,405,0.896296296,0.958024691,600.0570982,SOCT-Benders,None,0,600,138,0.043814433,405,388,10662,11773,441.5102365,0.063326221,,,,,
blood,2,560,0.748663102,0.7875,600.0020001,OCT-Multivariate,FALSE,0,600,0,1,0,0.208928571,,,,,,,,,
climate,2,405,0.962962963,0.928395062,600.0097132,SOCT-Benders,None,0,600,15,0.07712766,405,376,10518,12323,437.0546117,0.032388205,,,,,
climate,2,405,0.933333333,1,59.16572595,SOCT-Benders,None,0,600,89,0,405,405,1325,1494,54.82411528,0.062756348,,,,,
blood,3,560,0.759358289,0.814285714,600.0248311,OCT-Multivariate,FALSE,0,600,138,1,0,0.180357143,,,,,,,,,
climate,2,405,0.911111111,0.987654321,600.028405,SOCT-Benders,None,0,600,42,0.0125,405,400,9458,15320,392.0642264,0.065581795,,,,,
blood,3,560,0.748663102,0.801785714,600.0042779,OCT-Multivariate,FALSE,0,600,15,1,0,0.191071429,,,,,,,,,
climate,2,405,0.837037037,0.948148148,600.009089,SOCT-Benders,None,0,600,0,0.0546875,405,384,10666,12133,439.7661936,0.062610056,,,,,
